Lake and Peninsula Borough,AK,58.3277109,-156.154765
Anchorage Municipality,AK,61.1758781,-149.1107333
Kenai Peninsula Borough,AK,60.0968272,-151.788033
Matanuska-Susitna Borough,AK,62.3402481,-149.4793288
Dillingham Census Area,AK,59.9011107,-158.2016852
Wade Hampton Census Area,AK,62.2002165,-163.764702
Bristol Bay Borough,AK,58.7370341,-156.8753867
Denali Borough,AK,63.878678,-149.650166
Fairbanks North Star Borough,AK,64.8649039,-146.7751619
Haines Borough,AK,59.0831232,-135.3430573
Juneau City and Borough,AK,58.3019496,-134.419734
Skagway Municipality,AK,59.6226362,-135.4094368
Sitka City and Borough,AK,57.4086082,-135.4596206
Yakutat City and Borough,AK,59.6391781,-139.3429439
Kodiak Island Borough,AK,57.5433765,-153.3574124
Ketchikan Gateway Borough,AK,55.489748,-131.011963
Wrangell City and Borough,AK,56.2045673,-132.0432552
Nome Census Area,AK,65.0031061,-163.0930151
Northwest Arctic Borough,AK,67.2385127,-159.9816347
North Slope Borough,AK,69.5335129,-153.8220681
Apache County,AZ,35.214632,-109.4786676
Graham County,AZ,32.8397096,-109.8685752
Greenlee County,AZ,33.2312681,-109.2751297
Navajo County,AZ,35.1819775,-110.3549451
Montezuma County,CO,37.3476546,-108.6260849
Catron County,NM,33.9026943,-108.3800825
Cibola County,NM,34.8722771,-107.9398474
McKinley County,NM,35.6438394,-108.1515609
San Juan County,NM,36.4755752,-108.3046555
San Juan County,UT,37.5859438,-109.7852018
Cochise County,AZ,31.8514532,-109.8181858
Pima County,AZ,32.1112624,-111.6546163
Santa Cruz County,AZ,31.5094579,-110.847628
Hidalgo County,NM,31.801493,-108.7598468
Coconino County,AZ,35.9363252,-111.6948197
Gila County,AZ,33.74135485,-110.68128894247536
Mohave County,AZ,35.7218038,-113.827117
Yavapai County,AZ,34.5668857,-112.5515965
Kane County,UT,37.2439691,-112.0048393
Maricopa County,AZ,33.34883,-112.49123
Pinal County,AZ,32.8085851,-111.4426212
Grant County,NM,32.7548776,-108.3634144
La Paz County,AZ,33.7923828,-114.0184443
Yuma County,AZ,32.7915374,-113.897503
Imperial County,CA,33.0305487,-115.3595666
Riverside County,CA,33.7219991,-116.0372472
San Bernardino County,CA,34.8253019,-116.0833144
Clark County,NV,36.3467726,-115.090737
Lincoln County,NV,37.5449476,-114.8764448
Washington County,UT,37.2393471,-113.525776
Arkansas County,AR,34.2902454,-91.3598511
Desha County,AR,33.7740219,-91.3110517
Jefferson County,AR,34.2711667,-91.9248307
Lincoln County,AR,33.9359663,-91.7713274
Lonoke County,AR,34.7414404,-91.862792
Monroe County,AR,34.6778982,-91.2289578
Phillips County,AR,34.4427373,-90.8331287
Prairie County,AR,34.8105247,-91.5751148
Ashley County,AR,33.1742582,-91.7295595
Bradley County,AR,33.4494147,-92.16876
Chicot County,AR,33.2536665,-91.3026986
Drew County,AR,33.5716907,-91.7160969
Union County,AR,33.1637366,-92.6171029
Morehouse Parish,LA,32.8326959,-91.8374127
Union Parish,LA,32.8385899,-92.3910295
Baxter County,AR,36.2820691,-92.3445222
Fulton County,AR,36.3783981,-91.8110982
Izard County,AR,36.0832532,-91.8894787
Marion County,AR,36.2378521,-92.6999559
Searcy County,AR,35.9018987,-92.7098744
Stone County,AR,35.8317159,-92.1747633
Ozark County,MO,36.6467816,-92.4575198
Benton County,AR,36.3456186,-94.2670404
Carroll County,AR,36.3386737,-93.5093048
Madison County,AR,35.9728095,-93.7589024
Washington County,AR,35.9672625,-94.2280656
Barry County,MO,36.7033624,-93.8229669
McDonald County,MO,36.6259839,-94.3529462
Adair County,OK,35.8783136,-94.6567402
Delaware County,OK,36.4118421,-94.8069453
Boone County,AR,36.2829183,-93.0784759
Newton County,AR,35.918468,-93.2273047
Taney County,MO,36.6563729,-93.0665776
Calhoun County,AR,33.5556787,-92.5143633
Cleveland County,AR,33.8847138,-92.1724506
Dallas County,AR,33.9630776,-92.6853662
Ouachita County,AR,33.5680929,-92.9355875
Stone County,MO,36.7377156,-93.4555059
East Carroll Parish,LA,32.6949938,-91.2605142
West Carroll Parish,LA,32.7864174,-91.4586366
Bolivar County,MS,33.7702263,-90.8519798
Issaquena County,MS,32.6773851,-91.0097866
Washington County,MS,33.2626706,-90.9183546
Clark County,AR,34.0541966,-93.198963
Hot Spring County,AR,34.2956351,-92.9005742
Montgomery County,AR,34.5218805,-93.6508234
Nevada County,AR,33.6413476,-93.3055491
Pike County,AR,34.1435885,-93.6428966
Clay County,AR,36.3609902,-90.4087659
Greene County,AR,36.091803,-90.5778883
Randolph County,AR,36.3412315,-91.0387017
Butler County,MO,36.7151346,-90.4146358
Dunklin County,MO,36.2156534,-90.0591292
Ripley County,MO,36.6478735,-90.8887906
Cleburne County,AR,35.5298937,-92.0312818
Faulkner County,AR,35.1470851,-92.3219053
Independence County,AR,35.718344,-91.55326
Van Buren County,AR,35.5759086,-92.4916144
White County,AR,35.2463042,-91.7169687
Grant County,AR,34.2773864,-92.420578
Columbia County,AR,33.1938586,-93.2344337
Lafayette County,AR,33.1821484,-93.5972459
Claiborne Parish,LA,32.8218607,-93.0097229
Webster Parish,LA,32.6358137,-93.3285187
Conway County,AR,35.2521996,-92.6888936
Perry County,AR,34.9616474,-92.8757514
Pope County,AR,35.453867,-93.0498623
Yell County,AR,34.9906072,-93.4283105
Craighead County,AR,35.8348413,-90.6441144
Jackson County,AR,35.5770886,-91.196742
Lawrence County,AR,36.0078212,-91.1655476
Mississippi County,AR,35.7547987,-90.0875933
Poinsett County,AR,35.5730183,-90.6717121
Crawford County,AR,35.5803044,-94.2684622
Franklin County,AR,35.5110075,-93.8864847
